#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_split	num_paired	num_split_with_pair	num_split_rescued	num_uniq_starts	pap_rate	mean_split_pos	split_pos_std	homogeneity	coverage_context	ssp	fusion_class	break_on_exon	feature_1	gene_1	transcript_1	gene_1_strand	biotype_1	expression_1	feature_2	gene_2	transcript_2	gene_2_strand	biotype_2	expression_2	splice_motif	filters
291213	12	24366277	[24366276,24366353]	12	24048958	[24048868,24048961]	262	0	102	53	0.19084;0.179389;261	1	0.661504	0.190117	0.326276|0.775148	-1;-1	0|0	intra-chromosomal	yes|yes	exon	RP11-444D3.1	RP11-444D3.1-001:5;RP11-444D3.1-005:3;RP11-444D3.1-006:4	-	lincRNA	0	exon	SOX5	SOX5-002:2;SOX5-003:1;SOX5-004:3;SOX5-006:2;SOX5-007:2;SOX5-008:2;SOX5-009:1;SOX5-010:2;SOX5-016:2;SOX5-201:2;SOX5-202:2	-	protein_coding	1.67041683	1	pass
563304	19	893595	[893500,893597]	6	160201406	[160201336,160201417]	207	0	81	7	0.169082;0.164251;4	1	0.459099	0.141649	0.125912|0.467269	-1;-1	0.00483092|0.00483092	inter-chromosomal	no|no	exon	RNU6-9	RNU6-9-201:1	+	snRNA	0	exon	SNORA20	SNORA20-201:1	-	snoRNA	0	0	pass
532673	17	61044110	[61044030,61044110]	17	61086895	[61086895,61086987]	194	0	50	68	0.21134;0.226804;194	1	0.659936	0.190058	1|0.640264	-1;-1	1|0	intra-chromosomal	no|no	exon	RP11-180P8.1	RP11-180P8.1-001:1	-	lincRNA	0	exon	TANC2	TANC2-001:1;TANC2-005:1	+	protein_coding	1.92074895	0	pass
418505	15	30546601	[30546601,30546695]	6	160201406	[160201337,160201406]	180	0	90	89	0.133333;0.127778;2	1	0.292333	0.219011	0.592105|0.406321	-1;-1	0|0	inter-chromosomal	no|no	exon	RNU6-17P	RNU6-17P-201:1	-	snRNA	0	exon	SNORA20	SNORA20-201:1	-	snoRNA	0	0	pass
811922	5	92005459	[92005459,92005599]	5	91895740	[91895552,91895749]	148	7	91	100	0.263514;0.283784;148	1	0.436946	0.310175	0.99359|0.933735	-1;-1	1|0	readthrough-intersecting	no|yes	exon	CTC-529L17.1	CTC-529L17.1-001:1;CTC-529L17.1-002:2	+	lincRNA	0	exon	RP11-133F8.2	RP11-133F8.2-001:1;RP11-133F8.2-002:2	-	lincRNA	0	1	pass
319546	12	98115600	[98115509,98115606]	17	37009243	[37009184,37009243]	154	0	74	47	0.181818;0.181818;33	1	0.375306	0.203276	0.228826|0.555957	-1;-1	0|0	inter-chromosomal	yes|no	exon	RNU6-36P	RNU6-36P-201:1	+	snRNA	0	exon	RPL23;SNORA21	RPL23-007:1;RPL23-009:2;SNORA21-201:1	-	protein_coding	12.7440958	0	pass
312633	12	77966046	[77965956,77966046]	12	78334099	[78334097,78334173]	138	0	104	45	0.210145;0.23913;138	1	0.345854	0.177176	0.867925|0.951724	-1;-1	0|0	intra-chromosomal	yes|yes	exon	RP1-34H18.1	RP1-34H18.1-001:2;RP1-34H18.1-201:1	+	lincRNA	0	exon	NAV3	NAV3-001:2;NAV3-002:2;NAV3-003:2;NAV3-007:1;NAV3-008:1;NAV3-201:2;NAV3-202:2	+	protein_coding	0.739342034	1	pass
887550	9	14531944	[14531936,14532158]	9	14307519	[14307202,14307520]	91	13	63	7	0.351648;0.351648;91	0.923077	0.641746	0.16615	0.990476|0.474886	-1;-1	0|0	readthrough-adjacent	no|yes	exon	RP11-408A13.2	RP11-408A13.2-001:1	-	pseudogene	0.206036001	exon	NFIB	NFIB-001:2;NFIB-002:2;NFIB-003:2;NFIB-004:2;NFIB-005:2;NFIB-006:2;NFIB-007:2;NFIB-009:2;NFIB-201:2	-	protein_coding	3.21424842	0	pass
243937	11	62432899	[62432899,62432974]	19	893590	[893496,893595]	116	0	60	55	0.241379;0.215517;28	1	0.336175	0.216057	0.865672|0.0705596	-1;-1	0|0	inter-chromosomal	no|yes	exon	METTL12;SNORA57	METTL12-004:1;SNORA57-201:1	+	protein_coding	2.13071251	exon	RNU6-9	RNU6-9-201:1	+	snRNA	0	0	pass
287064	12	12713881	[12713881,12713974]	10	117817502	[117817502,117817595]	116	0	7	115	0.172414;0.181034;9	1	0.154757	0.212484	0.97479|0.811189	-1;-1	0.931035|0.0689655	inter-chromosomal	no|no	exon	DUSP16	DUSP16-002:1;DUSP16-003:1	-	protein_coding	1.56290388	exon	GFRA1	GFRA1-201:10	-	protein_coding	4.43453646	0	pass
